RANK,NAME,id joueur,date of birth,country,continent,place of birth,LAT PLAYER,LONG PLAYER,image,TEAM,logo image,headquarters location,LAT TEAM,LONG TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
120,Cameron Johnson,Cameron Johnson,1996-03-03T00:00:00Z,United States of America,North America,Moon Township,40.513333333333,-80.21,Cameron Johnson.jpg,Phoenix Suns,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,Phoenix,33.44833333333333,-112.07388888888889,forward,27.1,17,25.3,19.6,5.5,33,0.818,74,0.5,99,0.455,0.604,0.629,13.9,3.8,1.5,0.9,0.4,0.6,17.7,15.4,19.2,6.8,127.3,110.4
121,Chris Paul,Chris Paul,1985-05-06T00:00:00Z,United States of America,North America,Lewisville,36.098055555556,-80.416111111111,Chris Paul (2022 All-Star Weekend) (cropped).jpg,Phoenix Suns,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,Phoenix,33.44833333333333,-112.07388888888889,guard,37.9,59,32,19.2,14.6,160,0.831,407,0.482,261,0.375,0.513,0.555,13.9,4.3,8.9,1.5,0.4,1.9,18.1,22.8,27,10.1,121.9,109.6
122,Luguentz Dort,Luguentz Dort,1999-04-19T00:00:00Z,Canada,North America,Montreal,45.508888888889,-73.561666666667,2023-08-09 Deutschland gegen Kanada (Basketball-Länderspiel) by Sandro Halank–062.jpg,Oklahoma City Thunder,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Oklahoma_City_Thunder.svg/1200px-Oklahoma_City_Thunder.svg.png,Oklahoma City,35.4823,-97.5352,guard,24,74,30.7,19.8,9.5,259,0.772,464,0.44,409,0.33,0.466,0.513,13.7,4.6,2.1,1,0.3,1.2,18.3,15.8,20.4,6.6,109.3,108.1
123,Malik Monk,Malik Monk,1998-02-04T00:00:00Z,United States of America,North America,Jonesboro,35.833333333333,-90.7,Malik Monk - 51960020214 (cropped2).jpg,Sacramento Kings,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,Sacramento,38.575277777778,-121.48611111111,guard,25.2,77,22.3,25.8,15.5,207,0.889,398,0.538,398,0.359,0.538,0.587,13.5,2.6,3.9,0.6,0.3,1.9,16.2,17.4,20,9.2,113.9,112.6
124,Malik Beasley,Malik Beasley,1996-11-26T00:00:00Z,United States of America,North America,Atlanta,33.756944444444,-84.390277777778,Malik Beasley FSU.jpg,Utah Jazz,https://logodownload.org/wp-content/uploads/2021/07/utah-jazz-logo-0.png,Salt Lake City,40.75,-111.88333333333,guard,26.4,55,26.7,21.3,8.2,44,0.841,198,0.485,471,0.359,0.522,0.535,13.4,3.6,1.7,0.8,0.1,1.1,17,15.1,18.7,6.5,107.2,115.3
125,Rudy Gobert,Rudy Gobert,1992-06-26T00:00:00Z,France,Europe,Saint-Quentin,49.847777777778,3.2855555555556,Rudy Gobert.jpg,Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/fr/d/d9/Timberwolves_du_Minnesota_logo_2017.png,Minneapolis,44.981944444444444,-93.26916666666666,center,30.8,70,30.7,16.3,18.3,340,0.644,543,0.663,3,0,0.659,0.675,13.4,11.6,1.2,0.8,1.4,1.7,25,14.7,26.3,7.4,128.1,103.9
126,Jusuf Nurkić,Jusuf Nurkić,1994-08-23T00:00:00Z,Bosnia and Herzegovina,Europe,Tuzla,44.538055555556,18.676111111111,Jusuf Nurkić against the Cleveland Cavaliers (cropped).jpg,Portland Trail Blazers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png,Portland,45.516666666667,-122.66666666667,center,28.6,52,26.7,22.2,19.1,192,0.661,386,0.567,119,0.361,0.561,0.589,13.3,9.1,2.9,0.8,0.8,2.3,22.4,16.2,25.3,10.6,112.7,104
127,Kris Dunn,Kris Dunn,1994-03-18T00:00:00Z,United States of America,North America,New London,41.354069,-72.10104,Kris Dunn.jpg,Utah Jazz,https://logodownload.org/wp-content/uploads/2021/07/utah-jazz-logo-0.png,Salt Lake City,40.75,-111.88333333333,guard,29.1,22,25.8,20.2,13.9,53,0.774,180,0.55,36,0.472,0.576,0.606,13.2,4.5,5.6,1.1,0.5,1.6,17.7,18.8,23.4,10.7,124.8,107.6
128,John Collins,John Collins,1997-09-23T00:00:00Z,United States of America,North America,Layton,41.078055555556,-111.95527777778,John Collins (5397460) (cropped).jpg,Atlanta Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/1200px-Atlanta_Hawks_logo.svg.png,Atlanta,33.756944444444,-84.390277777778,forward,25.5,71,30,17,10,178,0.803,467,0.619,240,0.292,0.557,0.593,13.1,6.5,1.2,0.6,1,1.1,19.6,14.3,20.8,6.2,116.7,108.2
129,Eric Gordon,Eric Gordon,1988-12-25T00:00:00Z,United States of America,North America,Indianapolis,39.768611111111,-86.158055555556,Eric Gordon Hornets.jpg,Houston Rockets,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/1200px-Houston_Rockets.svg.png,Houston,29.762777777778,-95.383055555556,guard,34.3,47,30.2,18.1,14.8,135,0.815,233,0.536,245,0.347,0.528,0.572,13.1,2.1,2.9,0.6,0.4,1.8,15.1,16,18,5.7,112.6,122.2
130,Jakob Pöltl,Jakob Pöltl,1995-10-15T00:00:00Z,Austria,Europe,Vienna,48.208333333333336,16.3725,Jakob Poeltl (39692527595).jpg,Toronto Raptors,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/1200px-Toronto_Raptors_logo.svg.png,Toronto,43.670277777778,-79.386666666667,center,27.5,26,27.2,17.5,11.2,72,0.569,230,0.652,0,0,0.652,0.652,13.1,9.1,2.2,1.2,1.3,1.1,22.2,15.3,24.4,9.4,132.1,103.3
131,Cole Anthony,Cole Anthony,2000-05-15T00:00:00Z,United States of America,North America,Portland,45.516666666667,-122.66666666667,Cole Anthony (51256737515) (cropped).jpg,Orlando Magic,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png,Orlando,28.533611111111,-81.386666666667,guard,22.9,60,25.9,21.5,13,170,0.894,404,0.5,206,0.364,0.516,0.57,13,4.8,3.9,0.6,0.5,1.5,17.8,16.9,21.7,9.6,116.8,106.3
132,Devonte' Graham,Devonte' Graham,1995-02-22T00:00:00Z,United States of America,North America,Raleigh,35.78,-78.64,Devonte Graham.jpg,San Antonio Spurs,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,San Antonio,29.425,-98.49388888888889,guard,28.1,20,26.4,20.2,11.5,72,0.75,52,0.442,148,0.358,0.513,0.559,13,2.5,4,0.8,0.3,1.3,15.5,17,19.5,7.7,116.3,119
133,Rui Hachimura,Rui Hachimura,1998-02-08T00:00:00Z,Japan,Asia,Toyama,36.69591666666667,137.21369444444446,2019 Rui Hachimura dribble (48824158846) (cropped).jpg,Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1200px-Washington_Wizards_logo.svg.png,"Washington, D.C.",38.895,-77.036666666667,forward,25.2,30,24.3,23,10,58,0.759,235,0.545,89,0.337,0.534,0.558,13,4.3,1.2,0.4,0.4,1.2,17.3,14.2,18.4,6.7,106.2,113.8
134,Jordan Nwora,Jordan Nwora,1998-09-09T00:00:00Z,United States of America,North America,Buffalo,42.88638888888889,-78.87805555555556,Jordan Nwora.jpg,Indiana Pacers,https://upload.wikimedia.org/wikipedia/fr/4/48/Pacers_de_l%27Indiana_2017.png,Indianapolis,39.768611111111,-86.158055555556,forward,24.6,24,24.6,21.2,11.4,43,0.721,139,0.518,109,0.422,0.569,0.586,13,4.7,2.1,0.5,0.3,1.3,17.7,15.1,19.8,8.2,112.7,115.2
135,Austin Reaves,Austin Reaves,1998-05-29T00:00:00Z,United States of America,North America,Newark,35.7025,-91.444722222222,Austin Reaves Oklahoma (cropped).jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,guard,24.9,64,28.8,16.2,16.8,265,0.864,274,0.631,216,0.398,0.616,0.687,13,3,3.4,0.5,0.3,1.5,16,16.4,19.4,7.1,129.5,112.4
136,Tre Jones,Tre Jones,2000-01-08T00:00:00Z,United States of America,North America,Burnsville,44.767777777778,-93.2775,Tre Jones - Keenan Hairston (cropped).jpg,San Antonio Spurs,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,San Antonio,29.425,-98.49388888888889,guard,23.3,68,29.2,19.3,12.9,172,0.86,585,0.506,158,0.285,0.489,0.534,12.9,3.6,6.6,1.3,0.1,1.6,16.5,19.5,23.1,9.2,116.7,118.7
137,Alec Burks,Alec Burks,1991-07-20T00:00:00Z,United States of America,North America,Grandview,38.885,-94.5225,Alec Burks.jpg,Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/3/39/Logo_of_the_Detroit_Pistons.png,Detroit,42.331666666667,-83.0475,guard,31.7,51,22,22.8,11.2,188,0.814,220,0.459,239,0.414,0.544,0.602,12.8,3.1,2.2,0.7,0.2,1.1,15.9,15,18.1,8.1,119.8,112.9
138,Jabari Smith Jr.,Jabari Smith Jr.,2003-05-13T00:00:00Z,United States of America,North America,Fayetteville,33.447777777778,-84.461666666667,Jabari Smith Jr.jpg,Houston Rockets,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/1200px-Houston_Rockets.svg.png,Houston,29.762777777778,-95.383055555556,forward,19.9,79,31,18.4,10.4,206,0.786,501,0.487,391,0.307,0.475,0.514,12.8,7.2,1.3,0.5,0.9,1.3,20,14.1,21.3,6.4,107.4,112.1
139,Kenyon Martin Jr.,Kenyon Martin Jr.,2001-01-06T00:00:00Z,United States of America,North America,West Hills,34.2064,-118.639,1 kj martin.jpg,Houston Rockets,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Rockets.svg/1200px-Houston_Rockets.svg.png,Houston,29.762777777778,-95.383055555556,forward,22.3,82,28,16.4,11.2,222,0.68,504,0.679,216,0.315,0.617,0.635,12.7,5.5,1.5,0.5,0.4,1.1,18.2,14.2,19.7,6.7,125.5,116.5
140,James Wiseman,James Wiseman,2001-03-31T00:00:00Z,United States of America,North America,Nashville,36.16222222222222,-86.77444444444444,James Wiseman.jpg,Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/3/39/Logo_of_the_Detroit_Pistons.png,Detroit,42.331666666667,-83.0475,center,22,24,25.2,21.6,13.2,59,0.712,226,0.562,18,0.167,0.539,0.565,12.7,8.1,0.7,0.2,0.8,1.5,20.8,13.4,21.5,6.6,108.7,108.3
141,Nicolas Claxton,Nic Claxton,1999-04-17T00:00:00Z,United States of America,North America,Greenville,34.844444444444,-82.385555555556,Nicolas Claxton (49165813553) (cropped).jpg,Brooklyn Nets,https://logodownload.org/wp-content/uploads/2021/04/brooklyn-nets-logo-2.png,Brooklyn,40.692777777778,-73.990277777778,forward,24,76,29.9,15.5,14.1,246,0.541,585,0.708,2,0,0.705,0.691,12.6,9.2,1.9,0.9,2.5,1.3,21.9,14.5,23.8,8.1,133.4,105.2
142,Dennis Schröder,Dennis Schröder,1993-09-15T00:00:00Z,Germany,Europe,Brunswick,52.269166666667,10.521111111111,"2022-07-03 Basketball, Männer, European Qualifiers, Deutschland - Polen 1DX 1386 by Stepro.jpg",Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,guard,29.6,66,30.1,18.6,14.7,252,0.857,426,0.46,225,0.329,0.472,0.545,12.6,2.5,4.5,0.8,0.2,1.7,15.1,17.1,19.6,6.9,111.5,110.9
143,Kelly Olynyk,Kelly Olynyk,1991-04-19T00:00:00Z,Canada,North America,Toronto,43.670277777778,-79.386666666667,2023-08-09 Deutschland gegen Kanada (Basketball-Länderspiel) by Sandro Halank–014.jpg,Utah Jazz,https://logodownload.org/wp-content/uploads/2021/07/utah-jazz-logo-0.png,Salt Lake City,40.75,-111.88333333333,forward,32,68,28.6,17.8,23.2,232,0.853,321,0.576,235,0.396,0.584,0.644,12.5,6.2,3.7,0.9,0.5,2.5,18.6,16.2,22.3,9.2,117.6,106.1
144,Mac McClung,Mac McClung,1999-01-06T00:00:00Z,United States of America,North America,Gate City,36.6383,-82.5806,Mac McClung (cropped).jpg,Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/1200px-Philadelphia_76ers_logo.svg.png,Philadelphia,39.952777777778,-75.163611111111,guard,24.3,2,20.6,27.4,12.9,5,0.6,9,0.556,11,0.364,0.55,0.563,12.5,5,4.5,0,0,1.5,17.5,17,22,12.7,119.3,109.9
145,Derrick White,Derrick White,1994-07-02T00:00:00Z,United States of America,North America,Parker,39.5194,-104.766,Derrick White Spurs.jpg,Boston Celtics,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/1200px-Boston_Celtics.svg.png,Boston,42.360277777777775,-71.05777777777777,guard,28.8,82,28.3,17.7,11.1,192,0.875,367,0.548,391,0.381,0.56,0.604,12.4,3.6,3.9,0.7,0.9,1.2,16,16.3,19.9,7.9,124.5,107.8
146,Keegan Murray,Keegan Murray,2000-08-19T00:00:00Z,United States of America,North America,Cedar Rapids,41.983333333333,-91.668611111111,Keegan Murray.jpg,Sacramento Kings,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,Sacramento,38.575277777778,-121.48611111111,forward,22.6,80,29.8,15.8,7.1,81,0.765,281,0.527,501,0.411,0.584,0.597,12.2,4.6,1.2,0.8,0.5,0.8,16.8,13.4,18.1,5.5,118.8,112.8
147,Mason Plumlee,Mason Plumlee,1990-03-05T00:00:00Z,United States of America,North America,Fort Wayne,41.08045,-85.13915,MasonPlumlee.jpg,Charlotte Hornets,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Charlotte_Hornets_%282014%29.svg/800px-Charlotte_Hornets_%282014%29.svg.png,Charlotte,35.226944444444,-80.843333333333,forward,33.1,56,28.5,15.7,17.8,256,0.605,396,0.669,0,0,0.669,0.673,12.2,9.6,3.7,0.6,0.6,1.5,21.9,15.9,25.5,10.6,134.1,106.5
148,Thomas Bryant,Thomas Bryant,1997-07-31T00:00:00Z,United States of America,North America,Rochester,43.165555555556,-77.611388888889,Thomas Bryant WSH Wizards 2022.jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,center,25.7,41,21.3,18.2,8.5,108,0.741,251,0.697,50,0.44,0.691,0.712,12.1,6.8,0.7,0.3,0.6,0.7,18.9,12.8,19.6,7.3,138.3,105.3
149,Nah'Shon Hyland,Nah'Shon Hyland,2000-09-14T00:00:00Z,United States of America,North America,Wilmington,39.748333333333,-75.551388888889,Nahshon Hyland.jpg,Denver Nuggets,https://upload.wikimedia.org/wikipedia/fr/3/35/Nuggets_de_Denver_2018.png,Denver,39.739166666667,-104.98472222222,guard,22.6,42,19.5,28.5,13.4,82,0.866,193,0.425,241,0.378,0.503,0.54,12.1,2,3,0.7,0.3,1.6,14.1,15.1,17.1,8.6,106.1,110.1
150,Caris LeVert,Caris LeVert,1994-08-25T00:00:00Z,United States of America,North America,Columbus,39.96222222222222,-83.00055555555555,CLeVert 2019 (cropped).jpg,Cleveland Cavaliers,https://upload.wikimedia.org/wikipedia/fr/0/06/Cavs_de_Cleveland_logo_2017.png,Cleveland,41.482222222222,-81.669722222222,guard,28.6,74,30.3,18.7,13.5,180,0.722,418,0.462,324,0.392,0.517,0.546,12.1,3.8,3.9,1,0.3,1.6,15.9,16,19.8,7.4,111.6,106.7
151,Jaden McDaniels,Jaden McDaniels,2000-09-29T00:00:00Z,United States of America,North America,Federal Way,47.315,-122.34,Jaden McDaniels Washington.jpg,Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/fr/d/d9/Timberwolves_du_Minnesota_logo_2017.png,Minneapolis,44.981944444444444,-93.26916666666666,forward,22.5,79,30.6,15.8,13.5,144,0.736,447,0.588,270,0.396,0.591,0.611,12.1,3.9,1.9,0.9,1,1.4,15.9,13.9,17.8,5.9,115.3,107.6
152,Jakob Pöltl,Jakob Pöltl,1995-10-15T00:00:00Z,Austria,Europe,Vienna,48.208333333333336,16.3725,Jakob Poeltl (39692527595).jpg,San Antonio Spurs,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,San Antonio,29.425,-98.49388888888889,center,27.5,46,26.1,18.6,19.8,129,0.605,387,0.618,1,0,0.616,0.625,12.1,9,3.1,0.8,1.1,2.1,21.1,15.2,24.2,10.7,119.2,110.8
153,Marvin Bagley III,Marvin Bagley III,1999-03-14T00:00:00Z,United States of America,North America,Tempe,33.425555555555555,-111.94,Marvin Bagley III (cropped).jpg,Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/3/39/Logo_of_the_Detroit_Pistons.png,Detroit,42.331666666667,-83.0475,forward,24.1,42,23.6,20.5,10.7,108,0.75,317,0.577,66,0.288,0.552,0.585,12,6.4,0.9,0.5,0.7,1.1,18.4,12.9,19.3,7,117.3,112.7
154,Clint Ndumba-Capela,Clint Capela,1994-05-18T00:00:00Z,Switzerland,Europe,Geneva,46.2,6.15,Clint Capela (51637537824).jpg,Atlanta Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/1200px-Atlanta_Hawks_logo.svg.png,Atlanta,33.756944444444,-84.390277777778,center,28.9,65,26.6,15.7,9.1,131,0.603,535,0.654,1,0,0.653,0.656,12,11,0.9,0.7,1.2,0.8,23,12.9,23.9,7.4,137,108
155,Lonnie Walker,Lonnie Walker,1998-12-14T00:00:00Z,United States of America,North America,Reading,40.341666666667,-75.926111111111,20170329 MCDAAG Lonnie Walker IV.jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,guard,24.3,56,23.2,20.2,8,106,0.858,278,0.522,249,0.365,0.534,0.57,11.7,1.9,1.1,0.5,0.3,0.8,13.6,12.8,14.8,5,111.1,112.8
156,Saddiq Bey,Saddiq Bey,1999-04-26T00:00:00Z,United States of America,North America,Charlotte,35.226944444444,-80.843333333333,Saddiq Bey (cropped).jpg,Atlanta Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Atlanta_Hawks_logo.svg/1200px-Atlanta_Hawks_logo.svg.png,Atlanta,33.756944444444,-84.390277777778,forward,24,25,25.1,17.4,6.9,29,0.862,105,0.552,125,0.4,0.578,0.599,11.6,4.8,1.4,0.8,0,0.7,16.4,13,17.8,6.8,124.3,113.7
157,Zach Collins,Zach Collins,1997-11-19T00:00:00Z,United States of America,North America,North Las Vegas,36.200583333333334,-115.12158333333333,20160330 MCDAAG Zach Collins J.jpg,San Antonio Spurs,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,San Antonio,29.425,-98.49388888888889,forward,25.4,63,22.9,21.2,19,142,0.761,401,0.571,147,0.374,0.568,0.599,11.6,6.4,2.9,0.6,0.8,2,18,14.5,20.8,10.5,112.4,107.4
158,Bruce Brown Jr.,Bruce Brown Jr.,1996-08-15T00:00:00Z,United States of America,North America,Boston,42.360277777777775,-71.05777777777777,Bruce Brown 2021.png,Denver Nuggets,https://upload.wikimedia.org/wikipedia/fr/3/35/Nuggets_de_Denver_2018.png,Denver,39.739166666667,-104.98472222222,guard,26.7,80,28.5,17.8,14.2,153,0.758,487,0.548,254,0.358,0.545,0.571,11.5,4.1,3.4,1.1,0.6,1.5,15.6,14.9,19,7.6,113.2,108.9
159,Nazreon Reid,Nazreon Reid,1999-08-26T00:00:00Z,United States of America,North America,Asbury Park,40.2225,-74.012222222222,Naz Reid.jpg,Minnesota Timberwolves,https://upload.wikimedia.org/wikipedia/fr/d/d9/Timberwolves_du_Minnesota_logo_2017.png,Minneapolis,44.981944444444444,-93.26916666666666,center,23.6,68,18.4,24.8,13.7,127,0.677,360,0.653,217,0.346,0.602,0.617,11.5,4.9,1.1,0.6,0.8,1.4,16.4,12.6,17.5,8.6,112.5,100.7
160,Josh Richardson,Josh Richardson,1993-09-15T00:00:00Z,United States of America,North America,Edmond,35.65713888888889,-97.46491666666667,Josh Richardson.jpg,San Antonio Spurs,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,San Antonio,29.425,-98.49388888888889,guard,29.6,42,23.7,20.5,13.4,60,0.883,199,0.518,207,0.357,0.527,0.556,11.5,2.8,3.3,1,0.3,1.5,14.3,14.7,17.5,8,110.6,116.9
161,Marcus Smart,Marcus Smart,1994-03-06T00:00:00Z,United States of America,North America,Dallas,32.779166666667,-96.808888888889,Marcus Smart 2021.jpg,Boston Celtics,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Boston_Celtics.svg/1200px-Boston_Celtics.svg.png,Boston,42.360277777777775,-71.05777777777777,guard,29.1,61,32.1,17.8,19.2,118,0.746,260,0.519,342,0.336,0.511,0.538,11.5,3.1,6.3,1.5,0.4,2.3,14.7,17.8,20.9,7.6,110.7,105.8
162,Max Strus,Max Strus,1996-03-28T00:00:00Z,United States of America,North America,Cook County,41.8,-87.716666666667,Max Strus 2018.png,Miami Heat,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,Miami,25.783333333333,-80.216666666667,guard,27,80,28.4,17.6,8,89,0.876,227,0.559,563,0.35,0.535,0.557,11.5,3.2,2.1,0.5,0.2,0.9,14.8,13.7,16.9,6,113,110.2
163,John Wall,John Wall,1990-09-06T00:00:00Z,United States of America,North America,Raleigh,35.78,-78.64,"John Wall, Caleb Homesley 2020 Photo 167 (50696541827).jpg",Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,guard,32.6,34,22.2,27,19.1,113,0.681,229,0.459,109,0.303,0.457,0.498,11.4,2.7,5.2,0.8,0.4,2.4,14.1,16.6,19.3,9.8,102.2,109.9
164,Quentin Grimes,Quentin Grimes,2000-05-08T00:00:00Z,United States of America,North America,Houston,29.762777777778,-95.383055555556,Quentin Grimes (cropped).jpg,New York Knicks,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/New_York_Knicks_logo.svg/1200px-New_York_Knicks_logo.svg.png,New York City,40.7,-74,guard,22.9,71,29.9,14.5,10.4,98,0.796,195,0.641,407,0.386,0.599,0.619,11.3,3.2,2.1,0.7,0.4,1,14.5,13.4,16.6,5.7,124.4,110.6
165,Luke Kennard,Luke Kennard,1996-06-24T00:00:00Z,United States of America,North America,Middletown,39.506111111111,-84.375833333333,Luke Kennard - 51849060280 (cropped).jpg,Memphis Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,Memphis,35.1175,-89.971111111111,guard,26.8,24,24.6,13.8,8.5,19,0.947,34,0.471,137,0.54,0.743,0.758,11.3,3.1,2.3,0.5,0,0.7,14.5,13.6,16.7,7,145.5,110.6
166,Isaiah Stewart,Isaiah Stewart,2001-05-22T00:00:00Z,United States of America,North America,Rochester,43.165555555556,-77.611388888889,Isaiah Stewart 2022 (cropped).jpg,Detroit Pistons,https://upload.wikimedia.org/wikipedia/commons/3/39/Logo_of_the_Detroit_Pistons.png,Detroit,42.331666666667,-83.0475,forward,21.9,50,28.3,17.3,13.4,149,0.738,236,0.542,205,0.327,0.518,0.56,11.3,8.1,1.4,0.4,0.7,1.4,19.4,12.7,20.8,7.1,113.7,110.9
167,Kyle Lowry,Kyle Lowry,1986-03-25T00:00:00Z,United States of America,North America,Philadelphia,39.952777777778,-75.163611111111,Kyle Lowry (17283761882).jpg,Miami Heat,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,Miami,25.783333333333,-80.216666666667,guard,37,55,31.2,16.7,17.5,135,0.859,175,0.509,310,0.345,0.514,0.565,11.2,4.1,5.1,1,0.4,1.9,15.3,16.3,20.4,7.9,114.8,107.7
168,Marcus Morris,Marcus Morris Sr.,1989-09-02T00:00:00Z,United States of America,North America,Philadelphia,39.952777777778,-75.163611111111,Marcus Morris 2018 (50120671663) (cropped).jpg,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,forward,33.6,65,28.1,17.6,8,87,0.782,336,0.482,307,0.365,0.513,0.534,11.2,4,1.8,0.6,0.3,0.9,15.2,13,16.9,6.1,108.3,110.5
169,Malik Beasley,Malik Beasley,1996-11-26T00:00:00Z,United States of America,North America,Atlanta,33.756944444444,-84.390277777778,Malik Beasley FSU.jpg,Los Angeles Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/1200px-Los_Angeles_Lakers_logo.svg.png,Los Angeles,34.05223,-118.24368,guard,26.4,26,23.9,20.9,10.1,21,0.619,81,0.481,187,0.353,0.515,0.521,11.1,3.3,1.2,0.8,0,1.2,14.5,12.3,15.7,5.9,98.8,111.2
170,Corey Kispert,Corey Kispert,1999-01-01T00:00:00Z,United States of America,North America,Edmonds,47.806944444444,-122.34666666667,Corey Kispert (51589746589) (cropped).jpg,Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/1200px-Washington_Wizards_logo.svg.png,"Washington, D.C.",38.895,-77.036666666667,forward,24.1,74,28.3,14.1,8.7,88,0.852,201,0.637,385,0.423,0.636,0.656,11.1,2.8,1.2,0.4,0.1,0.8,13.9,12.3,15.1,4.7,124.2,116.6
171,Julian Champagnie,Julian Champagnie,2001-06-29T00:00:00Z,United States of America,North America,Staten Island,40.576280555556,-74.144838888889,,San Antonio Spurs,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,San Antonio,29.425,-98.49388888888889,forward,21.8,15,20.8,19.4,7.9,17,0.824,47,0.553,81,0.407,0.59,0.609,11,4,0.7,0.3,0.3,0.7,15,11.7,15.7,6,116.3,115
172,Eric Gordon,Eric Gordon,1988-12-25T00:00:00Z,United States of America,North America,Indianapolis,39.768611111111,-86.158055555556,Eric Gordon Hornets.jpg,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png,Los Angeles,34.05223,-118.24368,guard,34.3,22,24.9,17,10.7,38,0.842,64,0.531,111,0.423,0.597,0.629,11,1.7,2.1,0.6,0.4,1,12.6,13.1,14.8,5.5,121.9,113.8
